,,,,Nieuwjaarsborrel 2012 Vriendenkring, Bandpromotion 2012, Astebleefconcert 2012, Najaarsconcert 2012, De waeg (Zangkompenie), Kerstmarkt 2012, Bandpromotion 2013, Sing challenge 2013, Vrouwenbond Den Elze, Koninginnen concert Vocalgroup Transparant, Astebleef juni 2013, Ouverture 2013, Tex-free festival 2013, Astebleef september 2013, Najaars concert 2013, Kerstmarkt Straelen 2013, Kerstconcert 2014, Blierick Prissenteert, Texfree 2014, Astebleef concert 2014, Ouverture 2014, Benefiet concert Toon Hermans huis, Najaars concert 2014, Kerstoptreden binnenstad Venlo, Kerstconcert bij reumavereniging, Muziek onder de toren, Steyl Promotion 2015, Astebleefconcert 2015, Zomeravondconcert Baolderse Hofzangers, Presentatieconcert Drumbeatz, Ouverture 2015, Najaarsconcert Blerickse Zangkompenie, Kerstconcert bij Berden, Kerstconcert met Harmonie Blerick, Mobiel kerstconcert binnenstad, Astebleefconcert 2016, Rozenfeesten Lottum, Ouverture 2016, Lustrumconcert The Inspiration, Kerstconcert Leurs, Mobiel kerstconcert binnenstad, Kerstoptreden Beej Benders, Verjaardag Angelique, Sing Challenge 2017, Kasteeltuinen 2017, Vrinde van Orpheus 2017, Providence 2017, Volkorenfestival 2017, Herfstconcert Voices 2017, Kerstconcert Leurs 2017, Kerstmarkt Blerick 2017, Kerstdiner SGL 2017, Kerst Astebleefconcert 2017, Lempkesoptroch 2017, Huwelijk Thomas en Elaine, Museum de Locht, Schopke Venray, Voorjaarsconcert Reuvers mannenkoor, Voorjaarsconcert Baolderse Hofzengers, Joyim goes Dutch, Ouverture Nieuwe Stijl, Najaarsconcert Inspiration, Kerstconcert Mariaweide, Kerstconcert , Kerstmarkt Blerick 2018, Zij Actief 2018, De Locht in de Winter, Paasoptreden Miller and Monroe, Zomeroptreden Museum De Locht, Zomeroptreden Kasteeltuinen, Pleinfeesten Tegelen, Venlo Verenigt 2019, Kerstconcert 2019
13, Abba medley, "31-7-2013", "5:17", , , , , , , , , , , , , , , , , , 12, 6, 12, 21, 7, , 14, , , 12, 12, 18, , 11, 1, 1, 6, , , 12, 10, 8, 4, , , , , 1, 7, 1, 4, 1, 1, , , , , 14, , 6, 17, 1, 5, , 1, 7, , , , 12, 15, 7, , , , , 
14, Merry Christmas everybody, "31-8-2013", "3:04", , , , , , , , , , , , , , , , 3, 10, 7, , , , , , , 4, 6, , , , , , , , 4, 3, 2, , , , , 3, 15, 2, 8, , , , , , , , 3, 15, 2, 1, 1, 11, , , , , , , , , 5, 6, 2, 2, , , , , , , 
15, Yesterday, "22-1-2014", "2:33", , , , , , , , , , , , , , , , , , 3, , 11, 17, 6, , 2, , 2, 13, 4, 9, 2, 3, 2, 4, , , , 6, 7, 6, 8, 10, , , , , 13, , 11, 4, , , , , , , , 8, 7, , , , , , , , , 10, 5, , , , , , 
16, Barbara Ann, "2-4-2014", "1:36", , , , , , , , , , , , , , , , , , , 2, 1, 20, 1, , , , , 4, 9, 3, 15, 1, 2, , 5, , , , 5, 5, , , , , , , , 5, , 2, , , , , , , , , 3, 3, , , , , , , , , , , 13, , , , , 
17, Only You, "1-5-2014", "3:06", , , , , , , , , , , , , , , , , , , , , , , 6, , , 5, 2, 14, , 4, 4, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 18, , , , , 
18, Please come home for christmas, "8-11-2014", "2:54", , , , , , , , , , , , , , , , , , , , , , , , 3, 3, , , , , , , , 10, 6, 4, , , , , 1, 13, 1, 4, , , , , , , , 2, 9, 3, 13, 19, 3, 2, 3, , , , , , , , , 6, 7, 10, 8, , , , , , , 
19, Beach boys medley, "7-3-2015", "4:01", , , , , , , , , , , , , , , , , , , , , , , , , , , , 10, 5, 13, 6, 8, , , , 1, 1, 1, 10, 12, , , 1, 6, 20, 8, 14, 7, 8, , , , , 7, , 18, 16, 5, , , , 14, , , , , 19, 21, , , , , 
20, Merry Christmas Everyone, "30-9-2015", "3:36", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12, 8, 5, , , , , 8, 11, 6, 1, , , , , , , , 8, 11, 5, 9, 17, 7, 7, 5, , , , , , , , , 7, 8, 9, 14, , , , , , , 
21, Banger Hart, "30-9-2015", "4:05", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5, , , , , 2, 3, 6, 3, 8, 5, , , , , , , 4, 15, , , 2, , 2, , , , , 6, 6, , , , , 
22, Brand new Day, "29-3-2016", "2:54", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 11, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, The Pianoman, "6-4-2016", "5:38", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7, 6, 7, , , 2, 5, 12, 5, 12, 10, , , , , , 13, , 12, 8, , , 8, , 11, , , , 3, 2, 10, , , , , 
24, Simply having a wonderful Christmas time, "5-11-2016", "3:43", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, 7, , , , , , , , 1, 4, 14, 16, 9, 4, 15, , , , , , , , , 2, 3, 1, 9, , , , , , , 
25, Listen to the Music, "5-12-2016", "3:57", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 3, 10, 4, 7, 5, 6, 12, , 11, , 12, 4, 7, 1, , , , , , , , , , 13, 20, , , , , 
26, House for Sale, "8-2-2017", "4:45", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 15, 3, 6, 12, 2, , , , , 6, , 2, 4, , , 6, , 3, , , , , 12, 9, , , , , 
27, Love me just a little bit more, "13-4-2017", "3:15", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 13, 13, 3, 14, , 4, , 10, 2, 13, 11, , 1, 5, 7, 8, , , , 4, 17, 8, , , , , 
28, Something about Christmas Time, "18-10-2017", "4:10", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16, 1, 7, 12, 21, 6, 3, 8, , , , , , , , , 1, 1, 7, 1, , , , , , , 
29, Holiday in Spain, "22-10-2017", "3:52", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 7, 2, 13, , , , , 16, 3, , , , , 
30, The Road Ahead is Empty, "1-2-2018", "4:20", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 3, 6, 9, , , 5, 5, , 5, , , , , 
31, Brabant, "3-4-2018", "3:43", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, Op Straat, "4-4-2018", "4:08", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, , 6, , , , , 14, 16, , , , , 
33, Stop the Cavalry, "7-11-2018", "2:56", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 5, 12, 6, , , , , , , 
34, Bon Jovi Medley, "20-4-2019", "6:35", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 14, , , , , 

Programma's gemaakt door:
Wilbert Alberts,16
Marielle Aquina,11
Miek Besouw,2
Angelique Pijnenburg,9
Anita Cremers,8
Nelly ,5
Joyce van der Genugten,4
Helmi SavelKoul,1
